t	x
1.34E+01	1.64E-02
1.34E+01	1.63E-02
1.34E+01	1.57E-02
1.35E+01	1.41E-02
1.35E+01	1.35E-02
1.35E+01	1.34E-02
1.36E+01	1.28E-02
1.36E+01	1.19E-02
1.36E+01	1.08E-02
1.37E+01	1.08E-02
1.37E+01	1.07E-02
1.37E+01	1.06E-02
1.38E+01	1.07E-02
1.38E+01	1.06E-02
1.38E+01	1.07E-02
1.39E+01	1.12E-02
1.39E+01	1.19E-02
1.39E+01	1.27E-02
1.40E+01	1.34E-02
1.40E+01	1.45E-02
1.40E+01	1.58E-02
1.41E+01	1.72E-02
1.41E+01	1.86E-02
1.41E+01	1.99E-02
1.42E+01	2.13E-02
1.42E+01	2.25E-02
1.42E+01	2.37E-02
1.43E+01	2.45E-02
1.43E+01	2.48E-02
1.43E+01	2.48E-02
1.44E+01	2.39E-02
1.44E+01	2.37E-02
1.44E+01	2.24E-02
1.45E+01	2.08E-02
1.45E+01	2.05E-02
1.45E+01	1.96E-02
1.46E+01	1.86E-02
1.46E+01	1.76E-02
1.46E+01	1.63E-02
1.47E+01	1.54E-02
1.47E+01	1.40E-02
1.47E+01	1.31E-02
1.48E+01	1.29E-02
1.48E+01	1.30E-02
1.48E+01	1.40E-02
1.49E+01	1.50E-02
1.49E+01	1.59E-02
1.49E+01	1.68E-02
1.50E+01	1.78E-02
1.50E+01	1.90E-02
1.50E+01	2.02E-02
1.51E+01	2.16E-02
1.51E+01	2.27E-02
1.51E+01	2.39E-02
1.52E+01	2.50E-02
1.52E+01	2.57E-02
1.52E+01	2.55E-02
1.53E+01	2.49E-02
1.53E+01	2.40E-02
1.53E+01	2.27E-02
1.54E+01	2.02E-02
1.54E+01	1.92E-02
1.54E+01	1.83E-02
1.55E+01	1.67E-02
1.55E+01	1.53E-02
1.55E+01	1.28E-02
1.56E+01	1.08E-02
1.56E+01	9.99E-03
1.56E+01	1.00E-02
1.57E+01	9.53E-03
1.57E+01	8.63E-03
1.57E+01	9.45E-03
1.58E+01	1.05E-02
1.58E+01	1.06E-02
1.58E+01	1.07E-02
1.59E+01	1.11E-02
1.59E+01	1.18E-02
1.59E+01	1.23E-02
1.60E+01	1.29E-02
1.60E+01	1.33E-02
1.60E+01	1.37E-02
1.61E+01	1.39E-02
1.61E+01	1.41E-02
1.61E+01	1.37E-02
1.62E+01	1.33E-02
1.62E+01	1.29E-02
1.62E+01	1.19E-02
1.63E+01	1.09E-02
1.63E+01	9.19E-03
1.63E+01	8.48E-03
1.64E+01	7.64E-03
1.64E+01	6.83E-03
1.64E+01	6.03E-03
1.65E+01	4.40E-03
1.65E+01	3.32E-03
1.65E+01	2.80E-03
1.66E+01	2.02E-03
1.66E+01	2.06E-03
1.66E+01	1.56E-03
1.67E+01	3.19E-03
1.67E+01	2.34E-03
1.67E+01	3.26E-03
1.68E+01	2.87E-03
1.68E+01	2.97E-03
1.68E+01	3.05E-03
1.69E+01	3.11E-03
1.69E+01	3.32E-03
1.69E+01	3.18E-03
1.70E+01	2.93E-03
1.70E+01	2.62E-03
1.70E+01	2.26E-03
1.71E+01	2.13E-03
1.71E+01	2.23E-03
1.71E+01	1.99E-03
1.72E+01	8.15E-02
1.72E+01	8.05E-02
1.73E+01	8.20E-02
1.73E+01	8.55E-02
1.73E+01	8.72E-02
1.74E+01	9.00E-02
1.74E+01	9.43E-02
1.74E+01	9.57E-02
1.75E+01	9.93E-02
